estimates,runtime,case
68782,84.8855,2
303737,73.1871,2
69012,71.5794,2
69012,70.4429,2
34104,44.6139,2
148590,41.8415,2
300010,74.544,2
148590,44.508,2
69076,59.948,2
34104,44.5031,2
68782,81.0938,2
303737,72.3436,2
68782,82.2578,2
69076,57.6062,2
69076,58.2226,2
69012,73.5857,2
34104,42.2455,2
68758,69.7343,2
68782,79.7419,2
68782,82.2692,2
69012,73.1996,2
148590,42.0464,2
68758,69.4912,2
69076,82.3263,2
69073,60.2732,2
68782,80.7498,2
68782,78.186,2
303737,69.4949,2
69076,59.0677,2
34104,41.7826,2
34104,45.6192,2
303737,71.9657,2
303737,71.4209,2
300010,71.7141,2
1112,29.6671,1
69073,61.0605,2
69073,63.7913,2
300010,74.2088,2
68758,70.3158,2
34104,41.8201,2
147609,41.6554,2
303737,74.7839,2
69012,68.8715,2
68782,83.9828,2
147609,40.3459,2
300010,72.469,2
68782,84.6029,2
69012,69.073,2
68758,68.6158,2
147609,39.6869,2
69073,59.0726,2
148590,41.3443,2
69076,59.3813,2
69076,86.6056,2
69076,57.6355,2
299925,72.6579,2
69073,59.2257,2
69073,60.1637,2
299925,72.6622,2
68782,79.2513,2
69076,59.7636,2
68782,84.93,2
69076,61.7397,2
34104,43.0754,2
69012,71.1885,2
299925,75.1879,2
69076,59.344,2
69076,83.1235,2
69076,60.1906,2
1112,31.688,1
69076,85.09,2
69073,60.7197,2
68782,82.6974,2
303737,72.3206,2
148590,44.098,2
1112,29.1914,1
34104,42.9889,2
68782,84.8728,2
69076,60.6869,2
303737,74.665,2
69076,58.9956,2
300010,76.12,2
69073,58.9283,2
69012,72.6597,2
69073,67.856,2
147609,42.7102,2
68758,74.0943,2
303737,74.0427,2
69012,69.3714,2
68782,80.8126,2
34104,41.6127,2
69076,80.8646,2
68758,70.81,2
68758,71.2867,2
69076,59.78,2
68782,80.3944,2
299925,73.333,2
69076,59.4639,2
688,25.4326,1
69076,59.7776,2
68782,83.3225,2
69073,60.4262,2
68758,72.1604,2
69076,84.4104,2
68758,68.8904,2
69012,67.0974,2
34104,43.0638,2
303737,74.0458,2
69076,65.6869,2
68782,84.8209,2
34104,42.0129,2
34104,42.7824,2
300010,73.4183,2
303737,73.0599,2
69076,80.6525,2
68782,84.7101,2
68782,81.5795,2
69012,69.2846,2
69076,57.9859,2
68758,68.0693,2
68758,67.5312,2
69073,59.7063,2
147609,40.7568,2
68758,73.6616,2
69012,70.2699,2
34104,41.9874,2
303737,71.5344,2
303737,70.4939,2
34104,43.3743,2
148590,40.5262,2
68782,80.9691,2
69076,82.0285,2
147609,39.8952,2
34104,42.4984,2
300010,72.9249,2
300010,73.1079,2
69012,73.0865,2
303737,71.8007,2
68758,68.0936,2
148590,42.6707,2
69012,66.2885,2
147609,42.3513,2
34104,44.9055,2
34104,42.1705,2
148590,42.1001,2
69076,83.5383,2
69076,59.2116,2
299925,72.0084,2
68782,85.1724,2
147609,41.2416,2
69073,59.8951,2
69076,82.0085,2
69012,66.6106,2
69076,81.6383,2
69073,59.4954,2
299925,74.8438,2
147609,41.8156,2
34104,42.9982,2
303737,72.0097,2
69073,58.7819,2
69076,59.814,2
299925,72.8168,2
299925,71.1147,2
147609,40.0489,2
68782,81.3322,2
303737,72.3014,2
69073,60.2001,2
69012,68.7071,2
303737,72.3453,2
34104,41.1942,2
69073,62.8701,2
303737,75.479,2
300010,77.8681,2
69073,60.6532,2
69012,68.1333,2
68782,87.8125,2
300010,77.4596,2
303737,72.5879,2
34104,43.2325,2
68758,71.0846,2
68758,70.3436,2
68782,81.8013,2
68782,80.9246,2
69073,59.3577,2
688,24.5803,1
69073,59.4274,2
68758,73.4538,2
148590,42.9401,2
68758,70.1604,2
68758,68.7656,2
69076,59.1012,2
1112,29.281,1
69012,69.8723,2
69076,58.6236,2
147609,40.3271,2
34104,42.6302,2
148590,41.6642,2
34104,43.5808,2
34104,41.0713,2
69076,81.1341,2
