estimates,runtime,case
1443,1900.8219,1
1307,2117.622,1
2433,2270.2979,2
2432,1258.997899,1
3766,1927.2858,1
3707,1616.087499,1
1348,2574.218699,1
1516,2173.9251,1
3635,1795.038299,1
1116,2511.2551,1
1477,1711.3958,1
1168,1672.4551,1
2024,2129.655701,1
1045,2962.4186,1
3856,1576.774199,1
1113,2082.6489,1
1331,1893.430001,1
1283,2383.1711,1
1199,2356.251101,1
4759,2191.6072,1
1294,2605.727599,1
1399,2453.8427,1
1875,2647.449201,1
4912,2242.1431,1
4857,2080.9989,1
4845,2272.6941,1
2040,2962.058499,2
1375,2390.094,1
1530,2027.096,1
1685,3496.632001,2
4233,1840.2644,2
4897,2267.0136,1
1201,1651.061801,1
2565,1258.3804,1
1123,2529.422,1
1181,1946.6734,1
1588,2376.0229,1
3792,1791.1638,1
1378,2185.9528,1
1329,1904.3696,1
1206,3136.6946,1
5629,2441.1252,1
2340,2896.4706,2
1065,3634.1873,1
1548,1817.014999,1
972,3548.7587,1
1583,1785.2154,1
1272,1968.538701,1
2410,1056.896999,1
3222,2397.9892,2
8621,2873.569,2
1226,11137.6756,1
1040,1930.5305,1
1384,1753.4496,1
1620,2556.714301,2
3150,1304.392501,1
2311,2428.9025,1
6340,2801.057099,1
1267,2580.014299,1
1496,2239.6232,1
2067,3019.0632,1
4569,3016.8151,1
2565,3851.2659,2
1342,2159.455699,1
3213,1411.4015,1
1703,1908.179501,1
1232,2880.1763,1
2241,2171.5293,1
1127,3341.9743,1
985,2839.918301,1
1111,2367.1781,1
1335,2263.6064,1
1326,1650.9188,1
1587,1620.1707,1
2410,1065.1647,1
5368,2216.4574,1
4946,2177.6813,1
3914,1784.8884,1
1134,2142.1727,1
3397,1413.2406,1
1271,1933.334901,1
1006,2334.649601,1
1192,2075.7452,1
4737,2162.883199,1
1706,1466.2388,1
1402,2269.557899,1
1176,2646.5432,1
1771,2555.6849,1
4600,2069.5778,1
1402,1990.023799,1
1302,2974.5885,1
2095,2533.0518,1
5351,2425.068499,1
1338,2040.368601,1
3819,1621.105601,1
3847,1734.501899,1
1256,2288.672599,1
1706,1822.978199,1
2065,2031.7089,1
1898,1974.994801,1
3879,2197.677599,2
2623,1245.5996,1
1990,1690.7005,1
3849,1567.5004,1
4190,1943.2024,1
2098,2016.1065,1
1225,1856.606799,1
1496,2336.9168,1
1518,2179.106099,1
1238,1819.2532,1
5277,2499.468201,1
3801,1766.9649,1
1068,2417.689899,1
1066,2516.3621,1
2716,1199.805399,1
1298,1616.6092,1
2383,2289.317099,2
1758,3335.5415,2
2350,1925.1317,1
1914,2997.805999,2
1574,1436.2597,1
4002,1870.3057,1
1299,2106.724899,1
2264,1019.2759,1
5703,2327.2255,1
1372,2145.2299,1
2455,3583.349701,2
1404,2063.1102,1
1463,2111.9425,1
3564,1416.732401,1
5690,2519.2411,1
1817,1946.188,2
1089,8687.087701,1
3052,3551.2764,1
4075,1916.6248,1
1383,2165.5696,1
1588,2432.742,1
1367,2279.3384,1
1285,2102.3763,1
3347,1647.0803,1
2321,2480.265,2
1298,1953.8275,1
2159,1912.0649,1
1507,2038.7542,1
3560,1429.9825,1
1634,2016.0431,1
4581,2204.4183,1
1143,3070.4648,1
1286,2316.542399,1
4766,2086.215,1
1284,2242.3719,1
2977,1793.6845,1
1069,3305.4746,1
1469,1754.0062,1
3256,1556.0734,1
1368,1678.3566,1
1149,2886.575599,1
1238,2779.2614,1
1316,2145.8371,1
1389,2479.2108,1
1410,2119.7865,1
1430,2593.0751,1
3413,1607.1348,1
1137,1713.7556,1
1288,2354.3018,1
1305,2182.9588,1
2410,1034.279499,1
3554,1718.925599,1
5324,3720.029499,1
3669,2669.906199,1
5473,3216.1236,1
1402,2378.5046,1
1142,2774.305601,1
3378,1514.8746,1
4714,2211.2249,1
1656,2793.958101,1
1349,2182.7252,1
2942,1303.2335,1
1106,3278.156499,1
1213,2466.5794,1
2628,1262.315901,1
1892,2022.398,1
1355,1634.9056,1
2325,3047.5033,2
1440,2770.8935,1
3261,1531.345899,1
1182,2386.489099,1
1950,2383.403299,1
1029,2747.13,1
5034,2359.249199,1
3614,1566.9661,1
4322,1864.6105,1
1443,2299.676901,1
1310,2057.639799,1
1319,2392.421999,1
3792,1849.9441,1
2097,3240.0561,2
1241,2531.537399,1
1430,1886.3473,1
2994,1331.3239,1
