estimates,runtime,case
48199,7181.7273,2
33307,6855.913201,2
68754,7020.972299,2
75791,8415.4187,2
55984,6573.771899,2
96336,7355.2108,2
39732,7142.431901,2
104018,7522.1469,2
48400,6314.8644,2
70779,7431.252401,2
89257,7744.934801,2
42188,7075.9995,2
55342,8812.763,2
89026,10781.2852,2
38225,6975.1264,2
48241,6541.0996,2
56958,6561.954701,2
52116,8294.8372,2
76347,8529.527301,2
64022,8311.103101,2
39580,7104.3593,2
55841,7379.8421,2
68192,7507.2713,2
29357,6004.2452,2
14540,5312.006801,2
53658,7063.6871,2
23182,6386.5617,2
90446,7129.567801,2
75764,6625.9622,2
70101,7796.3911,2
27366,6334.7172,2
39057,6884.073999,2
68429,8424.116599,2
57706,8346.0002,2
23907,5464.5517,2
62024,6952.692899,2
58611,6995.6252,2
66327,6280.9202,2
60730,7350.024699,2
43734,6011.0396,2
51009,8124.0773,2
69214,8191.622999,2
71971,8579.372399,2
72769,8840.3653,2
67140,7777.5426,2
54247,7106.800301,2
40330,6292.437899,2
109872,9337.453899,2
54760,6148.6654,2
83585,7475.320801,2
67727,6674.0904,2
55238,7352.041999,2
37001,7860.8108,2
44236,8300.463801,2
35526,6575.637,2
66836,7590.757401,2
35338,6625.7636,2
81698,8195.660999,2
40668,6325.8416,2
53088,7021.4028,2
111489,7989.217901,2
21900,5776.430299,2
75088,8008.7726,2
71634,7768.2221,2
24489,5928.3018,2
32903,7237.5337,2
45947,6280.969,2
37924,6448.2962,2
57114,6513.0407,2
36736,6728.8057,2
32240,6793.3734,2
36830,6824.2925,2
77013,6874.896501,2
38133,7009.989999,2
44964,6417.5639,2
41148,6041.5188,2
93153,8162.7932,2
59006,8196.2127,2
76153,7678.132,2
46932,5738.233901,2
48138,6882.2623,2
123213,9166.624,2
62342,7982.1966,2
28774,6007.5073,2
58149,7193.364001,2
34082,6444.353801,2
54940,6162.2121,2
61977,7787.8685,2
31640,6851.2612,2
50182,7110.5069,2
75074,7730.936,2
77886,7465.457,2
45337,6537.935699,2
55525,7441.1672,2
36657,5460.2483,2
81513,9086.0609,2
123403,8232.8711,2
32203,6889.1737,2
30136,6550.1701,2
41592,6588.2763,2
75589,7594.2049,2
76679,7326.2264,2
55981,6375.1131,2
41160,7248.873499,2
69735,7629.5631,2
71387,7371.2254,2
54526,10238.220801,2
58476,7679.8722,2
68487,6693.9425,2
53295,7399.2434,2
40660,6907.919,2
50868,6333.3248,2
112585,8186.221,2
30606,6466.106801,2
53147,7404.404699,2
52407,6677.7517,2
30021,6904.4022,2
52066,6970.347901,2
47259,6868.467901,2
67133,6434.5204,2
87335,7998.6019,2
68978,6928.874199,2
34483,6397.3514,2
103829,8154.5121,2
84206,7517.556499,2
48141,7190.4184,2
53043,7131.579101,2
54741,8321.999099,2
77890,6676.928599,2
41606,6705.2194,2
59121,6647.434401,2
42321,6810.798401,2
63611,7172.8028,2
29479,6842.012599,2
58460,6958.2944,2
73606,7960.977,2
60837,7274.807499,2
47668,9717.4491,2
51598,13663.0849,2
70416,7346.3728,2
99541,8344.6238,2
61007,7054.6175,2
120041,8506.0971,2
68576,8081.1489,2
63119,8852.6125,2
46007,7393.2997,2
105233,8476.9521,2
78955,7885.394599,2
45136,6064.2363,2
71660,8391.9864,2
57675,7032.1825,2
34518,5902.7627,2
66568,7902.7643,2
87461,7814.8851,2
54516,6716.3864,2
31985,6532.0765,2
18412,6195.9021,2
43957,5813.9301,2
45723,5975.464701,2
68560,7580.0347,2
68753,7432.0533,2
41075,6950.883699,2
31452,5958.64,2
65977,7139.0281,2
33510,6947.9539,2
31472,6584.642,2
82009,8436.175601,2
59192,14881.6191,2
39676,6909.4887,2
49531,8905.4557,2
43209,6391.1476,2
55724,7104.7899,2
55434,6786.6445,2
35331,6842.5668,2
53192,7577.6991,2
57521,7095.788101,2
101986,8701.2186,2
55801,7489.0573,2
63270,7239.2879,2
34704,7263.143099,2
55797,7219.6576,2
41713,6589.7675,2
69581,7462.2055,2
64447,6821.4972,2
38328,6673.5817,2
33343,5681.571501,2
107489,7686.132,2
52096,6502.437099,2
116234,8325.6282,2
39370,6891.0976,2
48458,7753.8239,2
50904,7566.3985,2
47045,7035.112899,2
63412,6656.514299,2
72980,7507.390999,2
43380,7248.5424,2
34544,6310.3984,2
71619,6992.6672,2
29324,5947.9846,2
52386,7675.8519,2
