estimates,runtime,case
308137,2148.1661,2
318183,1835.2239,2
342633,1564.2046,2
280413,1959.2473,2
352611,1604.7367,2
208952,2138.8288,2
319010,2165.5055,2
326788,1713.4741,2
242554,1694.5032,2
336074,1879.6216,2
277809,2030.7317,2
381579,1625.5997,2
296120,1975.5822,2
426387,3548.5045,2
288890,1675.0001,2
373687,2084.0006,2
343509,2195.2795,2
301012,2126.9171,2
298331,1994.9947,2
282711,1978.2863,2
665580,4070.1695,2
281403,1921.5205,2
384873,1918.755,2
276101,1881.7252,2
338889,2029.7822,2
374292,1713.2876,2
316139,1832.4835,2
458571,3395.5017,2
348414,2180.6338,2
410318,3877.2241,2
347550,1700.4269,2
211268,2357.1088,2
289177,1335.0709,2
362360,2215.2503,2
272537,1899.6331,2
253292,1867.0561,2
326379,1999.6841,2
382211,1589.5284,2
308788,2225.7105,2
259772,1770.2672,2
272118,1642.7539,2
372989,1750.5259,2
309781,1806.5424,2
301117,2085.3566,2
329755,1960.2769,2
354373,2017.8644,2
113459,1495.986,2
301339,1248.2406,2
356629,2381.4065,2
357416,2385.2089,2
352135,2357.8097,2
326155,2201.1696,2
355535,2210.4725,2
297038,1639.5799,2
284569,1969.4875,2
266271,1968.5712,2
312989,1839.1097,2
257423,1738.2064,2
323189,2134.7951,2
280366,1905.7912,2
304950,2104.4081,2
315461,1553.4616,2
342875,686.7014,2
326672,2165.5005,2
362173,1764.7717,2
330898,2168.4543,2
266055,1452.8322,2
295970,1949.6385,2
360867,1748.6826,2
286215,1822.2459,2
281763,2042.6999,2
267558,1625.857,2
288634,2305.9498,2
330807,2158.8643,2
367635,2296.635,2
324440,2432.3155,2
223644,2422.186,2
323637,2481.5932,2
329230,1765.7731,2
343844,2200.1135,2
335145,2219.3621,2
357483,2214.6923,2
301094,1713.0369,2
329205,2797.576,2
317252,2854.9882,2
308911,2300.6957,2
343600,2595.1534,2
308697,2339.4468,2
328999,1880.4855,2
266613,2024.5017,2
269846,1607.3973,2
359580,1885.8029,2
260737,1754.1304,2
291209,1356.6699,2
365934,2200.4518,2
286446,1931.3868,2
260994,1849.6063,2
259988,1851.0634,2
323906,2327.3294,2
299333,1864.648,2
324463,2433.7385,2
290949,1507.9873,2
316092,1817.7277,2
386132,2101.3203,2
381185,1286.3422,2
333501,2136.4536,2
371940,2199.5323,2
332461,1732.56,2
312245,1942.0204,2
337075,1845.6594,2
370051,2027.5911,2
341674,2156.7074,2
248981,1441.6945,2
316465,1825.8122,2
379152,1892.5108,2
371055,1876.0219,2
255165,1985.2797,2
326672,2133.0697,2
230337,2453.0939,2
261607,1858.443,2
315062,2334.8701,2
313205,1719.0664,2
338999,2005.0606,2
264403,1685.4085,2
348757,2013.5222,2
295877,1949.3153,2
377595,1712.4397,2
225697,2705.4232,2
358155,2436.5408,2
311343,1491.4143,2
314209,1693.3813,2
329796,2158.1934,2
351292,2033.4512,2
336050,2127.3249,2
325468,1962.4175,2
354568,2331.9618,2
372508,2211.7463,2
320241,1808.1249,2
355506,2357.6216,2
289961,2080.9768,2
308636,2120.1039,2
272339,1643.648,2
329325,1687.4841,2
361305,2325.6137,2
311454,1475.1872,2
339255,1820.5775,2
332840,2110.1445,2
263067,1606.1314,2
321184,2111.2983,2
357987,2188.0258,2
258908,2654.3828,2
329587,2474.3892,2
322874,2158.9741,2
246441,2848.3324,2
292821,1974.7628,2
297470,1979.5916,2
306495,2392.2988,2
316150,1690.3695,2
361555,2375.6645,2
249072,3010.8648,2
277809,1944.7537,2
325783,2260.545,2
338396,2140.0746,2
380457,2261.7209,2
250775,2893.7686,2
432619,3302.7088,2
316693,1842.559,2
343473,2378.0044,2
358880,1593.8329,2
273204,1596.3702,2
310092,1867.0475,2
361443,2386.675,2
317595,2146.0166,2
345792,1888.368,2
193076,2635.6658,2
345870,1577.0275,2
387694,1966.7958,2
272839,2187.1973,2
241860,1863.2872,2
353403,2060.0107,2
326535,2294.2284,2
340491,2361.4693,2
358121,2377.0415,2
304274,2131.4287,2
316083,1880.2463,2
294207,1965.8787,2
289992,1337.7295,2
359349,1620.1375,2
321799,1924.4894,2
357899,1638.7786,2
316372,1994.3421,2
346940,2034.0689,2
380519,1632.2149,2
303609,2137.3612,2
293720,1980.5104,2
323363,2018.8143,2
270425,2043.5182,2
308705,1696.7189,2
264152,1562.5478,2
319737,1969.8472,2
