estimates,runtime,case
113769,4731.2579,2
14435,1084.2052,2
152028,3329.9397,2
8308,3732.4084,2
28362,1350.9143,2
27604,2645.1799,2
124674,3842.5953,2
6605,3000.8127,2
141223,3015.2842,2
209448,2069.6494,2
138231,2044.2409,2
6759,50.2388,1
170018,2270.0049,2
195734,1523.0471,2
113410,2929.8872,2
8747,3659.8664,2
112689,3110.4483,2
136202,2416.8645,2
3442,545.0118,2
16190,1569.6682,2
76419,4505.1491,2
111688,2801.4576,2
244901,2521.8162,2
20234,2914.0448,2
122921,3321.4761,2
69785,3339.1561,2
43270,57.3574,2
80136,3043.8012,2
24972,1537.8752,2
89028,5335.9723,2
189406,1805.5212,2
190262,1799.6333,2
18243,3290.3098,2
117943,2886.6924,2
15283,1746.9532,2
51304,2702.6067,2
78802,5037.6477,2
99056,590.5445,2
143140,3865.1911,2
76922,2438.259,2
199415,2650.7385,2
51469,5396.2467,2
15624,553.8505,2
154721,2324.3794,2
31987,1782.4549,2
67232,3382.5776,2
170847,1470.3296,2
110260,2756.8255,2
129797,3281.0379,2
45657,4823.2452,2
1282,1725.3912,1
111324,3059.9584,2
71320,1991.7724,2
55031,3115.9336,2
147725,1312.4714,2
115697,2887.9933,2
130193,3371.5583,2
67709,5032.7111,2
36598,1136.3616,2
1510,1325.9511,1
67978,3153.1805,2
16369,2999.0445,2
17822,532.536,2
121879,3091.7618,2
11428,1449.1948,2
192190,1396.7299,2
1436,1063.3014,1
13748,581.3412,2
69073,57.5994,2
53832,1831.6804,2
134978,2011.3576,2
170382,2324.2842,2
3154,1131.4469,2
1295,1289.5956,1
161415,2189.7663,2
20941,2231.8827,2
76585,2199.7727,2
166672,1688.7613,2
68782,162.9894,2
232717,2024.8756,2
140008,3414.3949,2
77311,5316.3723,2
43596,53.2492,2
300010,74.2116,2
5324,1293.5486,2
144619,1464.8419,2
4277,1372.9795,2
17395,2657.8677,2
225165,2829.4825,2
223748,2379.867,2
13539,2215.1594,2
61006,5566.6003,2
42856,2572.9625,2
2939,1011.1518,2
1690,1331.1931,1
167033,1558.5048,2
1289,1331.2681,1
25144,3060.4686,2
22969,1489.195,2
226898,3309.9612,2
5111,1738.3419,2
24149,1625.0689,2
20412,1939.9157,2
131789,3823.5269,2
130056,2722.6181,2
43039,74.1963,2
120283,3186.8984,2
133168,2147.501,2
169698,2428.0789,2
1311,678.7822,1
232850,2363.5177,2
25185,2268.7958,2
5050,1660.4004,2
85873,2714.4988,2
89936,2079.2971,2
28243,2123.9015,2
99056,883.4697,2
231885,1787.785,2
178862,1637.8186,2
43596,56.3404,2
21109,41.8016,2
68782,80.4844,2
1441,800.5375,1
12733,3003.6379,2
27868,1774.602,2
148207,2452.147,2
102561,3951.073,2
6258,1754.5369,2
118131,3262.3584,2
76500,2115.8058,2
122222,3708.6876,2
22626,1315.8085,2
42683,2950.956,2
1244,1575.1112,1
175720,1334.0954,2
76619,2319.462,2
18802,2872.6169,2
15987,1797.9329,2
30560,2724.0984,2
6866,2943.4022,2
42758,54.9254,2
203020,2523.1446,2
132775,2617.9914,2
165370,2201.2761,2
132793,2487.7192,2
17367,3185.1859,2
13009,2680.5007,2
20453,2171.83,2
118691,2757.1349,2
27468,1689.0133,2
63394,5721.1779,2
203561,2457.9822,2
6212,1705.2406,2
197023,1603.1946,2
125306,603.192,2
91540,3947.826,2
92942,4698.6676,2
237512,2824.6578,2
172739,2756.8032,2
16711,2845.6322,2
248314,2141.3314,2
112103,1684.994,2
168227,2321.0204,2
3731,1247.3538,2
10038,1288.2423,2
27189,1497.1115,2
138294,1966.9119,2
1788,1175.9195,2
1421,1176.5491,1
42887,2338.3137,2
84160,3568.8627,2
151577,1052.4053,2
69073,59.0425,2
139903,3860.8697,2
155139,3719.5189,2
89890,2617.7615,2
54335,5251.2644,2
1413,1177.3652,1
4468,1016.4539,2
35747,2433.5945,2
19468,995.3235,2
26382,1206.5647,2
10163,2379.5277,2
212582,3227.6621,2
66569,5170.2566,2
64169,5601.5298,2
300010,73.3613,2
19904,3249.2601,2
200129,3508.3013,2
130241,1840.2346,2
25991,4391.9415,2
16864,3016.903,2
22132,4645.0358,2
135875,3520.373,2
128627,2940.9539,2
19463,834.9596,2
57355,4864.4303,2
21548,1029.0919,2
89321,5206.0513,2
4741,1723.0395,2
