estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
43397,0.027,-1,1,1,1,1,1,1,0,0,0,0,1
42891,0.0137,-1,3,3,1,1,3,3,0,0,0,0,3
43474,0.0059,-1,1,1,1,1,1,1,0,0,0,0,1
43492,0.0053,-1,1,1,1,1,1,1,0,0,0,0,1
43675,0.0052,-1,1,1,1,1,1,1,0,0,0,0,1
21139,0.0057,-1,1,1,1,1,1,1,0,0,0,0,1
148136,0.0196,-1,7,7,1,1,7,7,0,0,0,0,7
21139,0.0037,-1,1,1,1,1,1,1,0,0,0,0,1
21097,0.0049,-1,1,1,1,1,1,1,0,0,0,0,1
21314,0.005,-1,1,1,1,1,1,1,0,0,0,0,1
43367,0.0052,-1,1,1,1,1,1,1,0,0,0,0,1
20923,0.0049,-1,1,1,1,1,1,1,0,0,0,0,1
43474,0.0036,-1,1,1,1,1,1,1,0,0,0,0,1
43403,0.0051,-1,1,1,1,1,1,1,0,0,0,0,1
43474,0.0033,-1,1,1,1,1,1,1,0,0,0,0,1
43403,0.0033,-1,1,1,1,1,1,1,0,0,0,0,1
21147,0.0045,-1,1,1,1,1,1,1,0,0,0,0,1
43345,0.0052,-1,1,1,1,1,1,1,0,0,0,0,1
7834,0.1397,-1,54,36,1,1,36,36,0,0,0,0,36
21059,0.0053,-1,1,1,1,1,1,1,0,0,0,0,1
42794,0.0061,-1,3,1,1,1,1,1,0,0,0,0,1
43345,0.0036,-1,1,1,1,1,1,1,0,0,0,0,1
7777,0.1318,-1,54,36,1,1,36,36,0,0,0,0,36
42867,0.0067,-1,3,1,1,1,1,1,0,0,0,0,1
43345,0.0037,-1,1,1,1,1,1,1,0,0,0,0,1
42766,0.0084,-1,3,3,1,1,3,3,0,0,0,0,3
21187,0.0048,-1,1,1,1,1,1,1,0,0,0,0,1
43403,0.0039,-1,1,1,1,1,1,1,0,0,0,0,1
7708,0.119,-1,54,36,1,1,36,36,0,0,0,0,36
13356,0.2186,-1,126,63,1,1,63,63,0,0,0,0,63
43345,0.0044,-1,1,1,1,1,1,1,0,0,0,0,1
43403,0.0038,-1,1,1,1,1,1,1,0,0,0,0,1
147647,0.0172,-1,7,7,1,1,7,7,0,0,0,0,7
43367,0.0043,-1,1,1,1,1,1,1,0,0,0,0,1
21242,0.0046,-1,1,1,1,1,1,1,0,0,0,0,1
7770,0.1204,-1,54,36,1,1,36,36,0,0,0,0,36
21262,0.0049,-1,1,1,1,1,1,1,0,0,0,0,1
21187,0.0039,-1,1,1,1,1,1,1,0,0,0,0,1
43367,0.0037,-1,1,1,1,1,1,1,0,0,0,0,1
43367,0.0033,-1,1,1,1,1,1,1,0,0,0,0,1
42738,0.0073,-1,3,3,1,1,3,3,0,0,0,0,3
43675,0.004,-1,1,1,1,1,1,1,0,0,0,0,1
21059,0.0039,-1,1,1,1,1,1,1,0,0,0,0,1
7829,0.1351,-1,54,36,1,1,36,36,0,0,0,0,36
43675,0.0045,-1,1,1,1,1,1,1,0,0,0,0,1
21159,0.0048,-1,1,1,1,1,1,1,0,0,0,0,1
21097,0.004,-1,1,1,1,1,1,1,0,0,0,0,1
21262,0.0036,-1,1,1,1,1,1,1,0,0,0,0,1
21147,0.004,-1,1,1,1,1,1,1,0,0,0,0,1
43675,0.0034,-1,1,1,1,1,1,1,0,0,0,0,1
21139,0.0043,-1,1,1,1,1,1,1,0,0,0,0,1
43403,0.0037,-1,1,1,1,1,1,1,0,0,0,0,1
7893,0.1239,-1,54,36,1,1,36,36,0,0,0,0,36
43345,0.0041,-1,1,1,1,1,1,1,0,0,0,0,1
7654,0.1188,-1,54,36,1,1,36,36,0,0,0,0,36
