estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
0,1,0,1,1,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0,0,0
219,1,1,1,1,1,1,0,0,0,0,1
418,1,1,1,1,1,1,0,0,0,0,1
0,1,0,1,1,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0,0,0
208,1,1,1,1,1,1,0,0,0,0,1
7,1,1,1,1,1,1,0,0,0,0,1
214,1,1,1,1,1,1,0,0,0,0,1
446,1,1,1,1,1,1,0,0,0,0,1
9,1,1,1,1,1,1,0,0,0,0,1
0,1,0,1,1,0,0,0,0,0,0,0
2,1,1,1,1,1,1,0,0,0,0,1
0,1,0,1,1,0,0,0,0,0,0,0
212,1,1,1,1,1,1,0,0,0,0,1
11,1,1,1,1,1,1,0,0,0,0,1
213,1,1,1,1,1,1,0,0,0,0,1
0,1,0,1,1,0,0,0,0,0,0,0
7,1,1,1,1,1,1,0,0,0,0,1
6,1,1,1,1,1,1,0,0,0,0,1
7,1,1,1,1,1,1,0,0,0,0,1
6,1,1,1,1,1,1,0,0,0,0,1
468,1,1,1,1,1,1,0,0,0,0,1
0,1,0,1,1,0,0,0,0,0,0,0
194,1,1,1,1,1,1,0,0,0,0,1
0,1,0,1,1,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0,0,0
202,1,1,1,1,1,1,0,0,0,0,1
217,1,1,1,1,1,1,0,0,0,0,1
0,1,0,1,1,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0,0,0
8,1,1,1,1,1,1,0,0,0,0,1
0,1,0,1,1,0,0,0,0,0,0,0
442,1,1,1,1,1,1,0,0,0,0,1
436,1,1,1,1,1,1,0,0,0,0,1
6,1,1,1,1,1,1,0,0,0,0,1
0,1,0,1,1,0,0,0,0,0,0,0
5,1,1,1,1,1,1,0,0,0,0,1
0,1,0,1,1,0,0,0,0,0,0,0
212,1,1,1,1,1,1,0,0,0,0,1
438,1,1,1,1,1,1,0,0,0,0,1
7,1,1,1,1,1,1,0,0,0,0,1
479,1,1,1,1,1,1,0,0,0,0,1
0,1,0,1,1,0,0,0,0,0,0,0
434,1,1,1,1,1,1,0,0,0,0,1
