estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
0,60.3874,3,1,0,32,0,0,0,0,0,0,0,0
0,41.132,3,22,22,54,45,990,0,0,0,0,0,0
0,36.294,3,1,0,81,63,0,0,0,0,0,0,0
0,36.1581,3,27,27,36,0,0,0,0,0,0,0,0
0,35.3105,3,1,1,81,9,9,0,0,0,0,0,0
0,35.6334,3,27,27,32,0,0,0,0,0,0,0,0
821,36.5561,3,18,18,48,40,720,52,0,0,0,52,0
0,35.1152,3,1,1,54,0,0,0,0,0,0,0,0
0,33.5024,3,18,9,36,9,81,0,0,0,0,0,0
0,34.5353,3,18,18,36,9,162,0,0,0,0,0,0
77,34.6896,3,18,9,32,8,72,4,0,0,0,4,0
0,33.4394,3,1,1,32,8,8,0,0,0,0,0,0
0,34.1708,3,1,0,36,27,0,0,0,0,0,0,0
0,34.958,3,1,1,32,8,8,0,0,0,0,0,0
0,35.4485,3,1,1,54,0,0,0,0,0,0,0,0
0,36.1037,3,1,1,36,36,36,0,0,0,0,0,0
0,37.2153,3,1,1,36,9,9,0,0,0,0,0,0
161,41.7207,3,1,1,54,27,27,9,0,0,0,9,0
0,37.294,3,18,18,54,0,0,0,0,0,0,0,0
0,42.831,3,1,1,48,0,0,0,0,0,0,0,0
196,41.5265,3,1,1,54,9,9,9,0,0,0,9,0
0,38.3211,3,1,1,54,45,45,0,0,0,0,0,0
0,38.3126,3,18,9,72,56,504,0,0,0,0,0,0
51,37.474,3,18,9,36,9,81,6,0,0,0,6,0
813,38.6692,3,1,1,81,27,27,27,0,0,0,27,0
665,39.1724,3,18,18,54,27,486,43,0,0,0,43,0
0,39.6458,3,1,0,54,0,0,0,0,0,0,0,0
0,35.6969,3,1,1,36,0,0,0,0,0,0,0,0
0,36.7132,3,1,1,36,0,0,0,0,0,0,0,0
0,35.8537,3,1,1,36,9,9,0,0,0,0,0,0
0,34.9389,3,27,9,36,27,243,0,0,0,0,0,0
0,35.9228,3,1,0,36,27,0,0,0,0,0,0,0
0,36.6191,3,1,1,54,45,45,0,0,0,0,0,0
158,36.1004,3,1,1,54,45,45,13,0,0,0,13,0
0,36.6786,3,1,1,54,0,0,0,0,0,0,0,0
0,37.8589,3,1,1,72,8,8,0,0,0,0,0,0
0,37.9327,3,1,0,81,54,0,0,0,0,0,0,0
0,37.9984,3,1,0,54,0,0,0,0,0,0,0,0
0,38.4483,3,1,1,54,9,9,0,0,0,0,0,0
0,40.1421,3,1,0,36,36,0,0,0,0,0,0,0
0,40.4607,3,1,1,54,0,0,0,0,0,0,0,0
0,43.1211,3,1,0,54,45,0,0,0,0,0,0,0
218,39.7184,3,1,1,36,27,27,13,0,0,0,13,0
0,39.8068,3,1,1,36,9,9,0,0,0,0,0,0
0,38.2692,3,1,1,48,8,8,0,0,0,0,0,0
0,38.1508,3,1,1,36,0,0,0,0,0,0,0,0
0,33.988,3,18,18,36,0,0,0,0,0,0,0,0
0,37.734,3,1,0,48,8,0,0,0,0,0,0,0
0,38.9977,3,1,0,32,0,0,0,0,0,0,0,0
0,35.9481,3,1,0,48,40,0,0,0,0,0,0,0
0,39.5812,3,1,0,72,0,0,0,0,0,0,0,0
33,41.5413,3,22,11,54,9,99,2,0,0,0,2,0
0,40.0803,3,1,1,81,27,27,0,0,0,0,0,0
958,38.2651,3,1,1,54,27,27,27,0,0,0,27,0
0,38.5385,3,1,1,36,9,9,0,0,0,0,0,0
0,36.4216,3,22,11,54,0,0,0,0,0,0,0,0
0,322.7074,3,1,1,36,0,0,0,0,0,0,0,0
0,58.9466,3,1,1,48,0,0,0,0,0,0,0,0
0,49.3577,3,1,0,48,24,0,0,0,0,0,0,0
0,43.1886,3,1,0,36,27,0,0,0,0,0,0,0
937,41.4202,3,1,1,36,27,27,27,0,0,0,27,0
0,40.7504,3,18,18,32,0,0,0,0,0,0,0,0
0,37.0942,3,1,1,36,9,9,0,0,0,0,0,0
0,36.2305,3,1,1,36,27,27,0,0,0,0,0,0
0,35.4712,3,1,1,32,8,8,0,0,0,0,0,0
0,36.6023,3,1,1,36,0,0,0,0,0,0,0,0
0,44.4281,3,1,1,54,0,0,0,0,0,0,0,0
0,36.9205,3,1,1,36,9,9,0,0,0,0,0,0
1375,37.5621,3,18,18,72,48,864,90,0,0,0,90,0
0,39.0818,3,1,1,81,9,9,0,0,0,0,0,0
0,47.0438,3,1,1,32,0,0,0,0,0,0,0,0
29,35.2866,3,18,9,54,9,81,3,0,0,0,3,0
0,32.6204,3,1,0,54,0,0,0,0,0,0,0,0
282,101.7085,3,1,1,81,27,27,17,0,0,0,17,0
0,43.608,3,18,9,54,0,0,0,0,0,0,0,0
0,41.6073,3,22,11,81,27,297,0,0,0,0,0,0
0,41.543,3,27,27,81,0,0,0,0,0,0,0,0
0,38.2955,3,1,1,54,0,0,0,0,0,0,0,0
0,114.4927,3,1,1,81,0,0,0,0,0,0,0,0
0,54.5533,3,27,9,32,0,0,0,0,0,0,0,0
0,49.8506,3,1,1,36,0,0,0,0,0,0,0,0
186,52.1838,3,1,1,36,9,9,9,0,0,0,9,0
385,60.0904,3,1,1,36,36,36,18,0,0,0,18,0
0,50.5902,3,1,1,54,0,0,0,0,0,0,0,0
0,50.8407,3,1,1,54,0,0,0,0,0,0,0,0
953,47.0973,3,18,18,48,40,720,65,0,0,0,65,0
0,48.2279,3,1,1,54,45,45,0,0,0,0,0,0
0,46.5034,3,22,22,54,45,990,0,0,0,0,0,0
0,48.2453,3,1,1,54,0,0,0,0,0,0,0,0
47,49.445,3,18,9,32,24,216,4,0,0,0,4,0
186,43.0439,3,1,1,36,27,27,9,0,0,0,9,0
0,36.8625,3,1,1,81,27,27,0,0,0,0,0,0
0,35.8828,3,1,1,54,0,0,0,0,0,0,0,0
0,35.6937,3,1,0,48,40,0,0,0,0,0,0,0
590,36.3966,3,27,27,32,24,648,38,0,0,0,38,0
0,35.1076,3,27,27,36,0,0,0,0,0,0,0,0
0,35.6098,3,1,0,36,27,0,0,0,0,0,0,0
0,33.1655,3,1,1,48,0,0,0,0,0,0,0,0
51,35.974,3,18,18,32,8,144,3,0,0,0,3,0
0,36.2297,3,18,18,32,0,0,0,0,0,0,0,0
0,37.9571,3,1,1,36,0,0,0,0,0,0,0,0
0,45.4181,3,1,1,36,27,27,0,0,0,0,0,0
0,35.5615,3,1,0,81,54,0,0,0,0,0,0,0
612,35.6359,3,1,1,36,36,36,18,0,0,0,18,0
0,37.0779,3,33,11,32,0,0,0,0,0,0,0,0
0,37.3429,3,1,1,81,0,0,0,0,0,0,0,0
583,37.1941,3,1,1,48,24,24,24,0,0,0,24,0
0,36.1309,3,18,18,81,9,162,0,0,0,0,0,0
0,37.5265,3,1,1,54,9,9,0,0,0,0,0,0
0,35.2662,3,1,1,54,0,0,0,0,0,0,0,0
0,37.2809,3,1,0,36,27,0,0,0,0,0,0,0
