estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
0,1,0,288,0,0,0,0,0,0,0,0
0,1,0,162,0,0,0,0,0,0,0,0
0,1,1,243,0,0,0,0,0,0,0,0
0,1,1,162,0,0,0,0,0,0,0,0
0,1,1,108,0,0,0,0,0,0,0,0
0,1,0,243,18,0,0,0,0,0,0,0
0,1,1,162,0,0,0,0,0,0,0,0
0,1,1,96,0,0,0,0,0,0,0,0
0,1,0,108,0,0,0,0,0,0,0,0
0,1,1,128,16,16,0,0,0,0,0,0
0,1,1,288,0,0,0,0,0,0,0,0
0,1,1,162,0,0,0,0,0,0,0,0
0,1,0,162,18,0,0,0,0,0,0,0
0,1,1,96,0,0,0,0,0,0,0,0
0,1,0,486,0,0,0,0,0,0,0,0
0,1,1,108,0,0,0,0,0,0,0,0
0,1,1,108,0,0,0,0,0,0,0,0
0,1,0,72,0,0,0,0,0,0,0,0
0,1,1,108,9,9,0,0,0,0,0,0
0,1,0,144,64,0,0,0,0,0,0,0
0,1,1,216,0,0,0,0,0,0,0,0
0,1,1,144,0,0,0,0,0,0,0,0
0,1,1,108,0,0,0,0,0,0,0,0
0,1,1,72,0,0,0,0,0,0,0,0
0,1,0,64,0,0,0,0,0,0,0,0
0,1,0,96,16,0,0,0,0,0,0,0
0,1,1,96,0,0,0,0,0,0,0,0
0,1,1,162,0,0,0,0,0,0,0,0
0,1,1,243,0,0,0,0,0,0,0,0
0,1,1,72,0,0,0,0,0,0,0,0
6,1,1,144,72,72,3,0,0,0,3,0
0,1,1,243,63,63,0,0,0,0,0,0
0,1,1,72,0,0,0,0,0,0,0,0
0,1,0,72,54,0,0,0,0,0,0,0
0,1,1,108,0,0,0,0,0,0,0,0
0,1,1,72,9,9,0,0,0,0,0,0
0,1,0,324,36,0,0,0,0,0,0,0
0,1,1,144,31,31,0,0,0,0,0,0
0,1,1,96,0,0,0,0,0,0,0,0
0,1,0,108,0,0,0,0,0,0,0,0
0,1,1,96,0,0,0,0,0,0,0,0
0,1,1,216,0,0,0,0,0,0,0,0
0,1,1,144,0,0,0,0,0,0,0,0
0,1,0,216,0,0,0,0,0,0,0,0
0,1,0,108,0,0,0,0,0,0,0,0
0,1,1,72,0,0,0,0,0,0,0,0
0,1,1,108,0,0,0,0,0,0,0,0
0,1,1,162,0,0,0,0,0,0,0,0
0,1,1,486,0,0,0,0,0,0,0,0
0,1,0,162,18,0,0,0,0,0,0,0
0,1,1,128,0,0,0,0,0,0,0,0
