estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
47083,1,1,730,725,725,725,668,24,29,4,0
137254,1,1,4800,584,584,584,267,291,16,10,0
53530,1,1,89504,2240,2240,2240,316,1231,625,68,0
120381,1,1,19853,3218,3218,3218,832,2038,348,0,0
56853,1,1,94722,3132,3132,3132,346,1260,1475,51,0
131882,1,1,1368,291,291,291,125,113,44,9,0
48200,1,1,937,931,931,931,667,254,6,4,0
51309,1,1,19177,1662,1662,1662,214,1233,215,0,0
46083,1,1,676,673,673,673,610,30,29,4,0
61732,1,1,16435,208,208,208,0,15,179,14,0
43714,1,1,7656,1076,1076,1076,868,181,26,1,0
133558,1,1,4800,822,822,822,633,144,36,9,0
127044,1,1,4800,600,600,600,257,314,20,9,0
57994,1,1,98300,3209,3209,3209,380,1157,1624,48,0
99117,1,1,5401,135,135,135,90,28,12,5,0
149205,1,1,8353,216,216,216,160,28,22,6,0
150993,1,1,7656,913,913,913,688,188,27,10,0
54634,1,1,95537,2583,2583,2583,324,1393,802,64,0
150820,1,1,7752,910,910,910,684,155,63,8,0
116334,1,1,19292,3359,3359,3359,1145,2189,8,17,0
54550,1,1,90266,2417,2417,2417,326,1421,602,68,0
101864,1,1,4896,542,542,542,245,255,36,6,0
108535,1,1,8257,197,197,197,180,7,3,7,0
56196,1,1,89667,2633,2633,2633,311,1456,802,64,0
132862,1,1,5497,134,134,134,90,21,18,5,0
53380,1,1,15850,2359,2359,2359,10,1679,602,68,0
109832,1,1,19791,4304,4304,4304,2169,1818,317,0,0
48934,1,1,973,969,969,969,669,254,46,0,0
36889,1,1,4849,101,101,101,90,7,3,1,0
48439,1,1,973,970,970,970,670,254,46,0,0
128048,1,1,7656,838,838,838,623,179,27,9,0
117040,1,1,4896,870,870,870,500,317,47,6,0
51454,1,1,14723,2205,2205,2205,38,1474,625,68,0
66699,1,1,7656,823,823,823,621,159,40,3,0
46762,1,1,730,726,726,726,669,24,29,4,0
140779,1,1,4800,750,750,750,491,207,43,9,0
54901,1,1,93811,2434,2434,2434,352,1412,602,68,0
94663,1,1,16084,1324,1324,1324,1135,7,165,17,0
45040,1,1,5401,148,148,148,90,42,15,1,0
47168,1,1,730,727,727,727,670,24,29,4,0
37899,1,1,5401,108,108,108,90,14,3,1,0
48303,1,1,892,886,886,886,607,260,16,3,0
48834,1,1,937,930,930,930,666,254,6,4,0
54200,1,1,90071,2347,2347,2347,335,1342,602,68,0
109404,1,1,8353,210,210,210,180,7,18,5,0
122642,1,1,19965,4537,4537,4537,2137,2052,348,0,0
47733,1,1,883,879,879,879,609,260,6,4,0
46286,1,1,685,681,681,681,609,30,39,3,0
136267,1,1,4896,679,679,679,385,229,57,8,0
109452,1,1,16614,2148,2148,2148,1905,44,182,17,0
54085,1,1,16046,2562,2562,2562,12,1684,802,64,0
120899,1,1,15847,2046,2046,2046,1837,8,184,17,0
81875,1,1,8257,216,216,216,180,28,3,5,0
149736,1,1,7656,786,786,786,590,156,30,10,0
150876,1,1,7824,853,853,853,638,136,72,7,0
141545,1,1,19343,4350,4350,4350,1731,2273,346,0,0
105157,1,1,8353,229,229,229,180,28,18,3,0
39829,1,1,8353,205,205,205,150,42,12,1,0
