estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
54152,12.0988,3,1,1,25000,1178,1178,1178,0,0,0,1178,0
38358,46.3386,3,1,1,17850,748,748,748,0,0,0,748,0
8562,44.8579,3,1,1,18000,230,230,230,0,0,0,230,0
15686,43.7536,3,1,1,16000,412,412,412,0,0,0,412,0
18031,41.8213,3,1,1,7560,342,342,342,0,0,0,342,0
21776,43.9809,3,1,1,12500,488,488,488,0,0,0,488,0
34367,46.1492,3,1,1,16000,931,931,931,0,0,0,931,0
2948,39.0967,3,1,1,8925,94,94,94,0,0,0,94,0
53506,50.5276,3,1,1,14875,1300,1300,1300,0,0,0,1300,0
8476,40.7649,3,1,1,8500,201,201,201,0,0,0,201,0
13034,40.6869,3,1,1,8925,311,311,311,0,0,0,311,0
13157,45.8212,3,1,1,12600,347,347,347,0,0,0,347,0
17463,40.232,3,1,1,7560,342,342,342,0,0,0,342,0
38580,45.4333,3,1,1,11900,1125,1125,1125,0,0,0,1125,0
20522,37.8375,3,1,1,9450,396,396,396,0,0,0,396,0
12020,164.9875,3,1,1,15750,292,292,292,0,0,0,292,0
67309,69.6123,3,1,1,25000,1457,1457,1457,0,0,0,1457,0
13835,54.9459,3,1,1,9000,310,310,310,0,0,0,310,0
23409,53.618,3,1,1,12600,472,472,472,0,0,0,472,0
11507,106.7346,3,1,1,10000,214,214,214,0,0,0,214,0
40613,58.8049,3,1,1,15750,1165,1165,1165,0,0,0,1165,0
22110,63.0413,3,1,1,12096,463,463,463,0,0,0,463,0
6772,57.5429,3,1,1,10000,121,121,121,0,0,0,121,0
19415,59.7475,3,1,1,18900,497,497,497,0,0,0,497,0
32518,55.9145,3,1,1,12500,639,639,639,0,0,0,639,0
15974,47.173,3,1,1,8500,364,364,364,0,0,0,364,0
13814,56.4077,3,1,1,14875,380,380,380,0,0,0,380,0
20857,55.3957,3,1,1,17850,527,527,527,0,0,0,527,0
7271,51.8126,3,1,1,7560,172,172,172,0,0,0,172,0
5064,46.5092,3,1,1,8925,156,156,156,0,0,0,156,0
2785,49.802,3,1,1,6048,67,67,67,0,0,0,67,0
15964,46.9585,3,1,1,8925,357,357,357,0,0,0,357,0
25951,59.6679,3,1,1,18900,510,510,510,0,0,0,510,0
6712,61.5836,3,1,1,18900,183,183,183,0,0,0,183,0
5845,50.8305,3,1,1,7140,169,169,169,0,0,0,169,0
13878,58.9675,3,1,1,12500,310,310,310,0,0,0,310,0
32949,65.5295,3,1,1,14875,774,774,774,0,0,0,774,0
3155,48.5896,3,1,1,5712,93,93,93,0,0,0,93,0
16535,47.4013,3,1,1,8925,364,364,364,0,0,0,364,0
11259,50.9497,3,1,1,8925,264,264,264,0,0,0,264,0
3957,57.1701,3,1,1,20000,135,135,135,0,0,0,135,0
25757,47.1221,3,1,1,17850,544,544,544,0,0,0,544,0
21945,49.7031,3,1,1,14875,584,584,584,0,0,0,584,0
36032,48.7085,3,1,1,15750,816,816,816,0,0,0,816,0
28350,46.5047,3,1,1,14280,611,611,611,0,0,0,611,0
46817,47.9259,3,1,1,12600,1065,1065,1065,0,0,0,1065,0
35737,47.2324,3,1,1,18900,754,754,754,0,0,0,754,0
26001,48.5218,3,1,1,12600,728,728,728,0,0,0,728,0
12488,40.7376,3,1,1,13600,251,251,251,0,0,0,251,0
35655,47.0397,3,1,1,20000,1014,1014,1014,0,0,0,1014,0
44411,51.6763,3,1,1,14875,1001,1001,1001,0,0,0,1001,0
8907,222.9205,3,1,1,12500,232,232,232,0,0,0,232,0
17423,71.3201,3,1,1,18000,429,429,429,0,0,0,429,0
30893,65.8762,3,1,1,20000,759,759,759,0,0,0,759,0
8780,56.8014,3,1,1,7140,240,240,240,0,0,0,240,0
21254,58.0574,3,1,1,15120,500,500,500,0,0,0,500,0
24455,53.506,3,1,1,18900,570,570,570,0,0,0,570,0
18267,47.5568,3,1,1,11900,333,333,333,0,0,0,333,0
4081,47.0805,3,1,1,9450,72,72,72,0,0,0,72,0
15558,47.7103,3,1,1,7560,340,340,340,0,0,0,340,0
26757,38.6509,3,1,1,11900,772,772,772,0,0,0,772,0
8612,44.273,3,1,1,8925,211,211,211,0,0,0,211,0
48914,51.7958,3,1,1,15750,1187,1187,1187,0,0,0,1187,0
3660,41.5267,3,1,1,7140,127,127,127,0,0,0,127,0
27965,44.1136,3,1,1,10000,659,659,659,0,0,0,659,0
19487,45.1154,3,1,1,17850,478,478,478,0,0,0,478,0
29564,47.4269,3,1,1,25000,768,768,768,0,0,0,768,0
14965,48.0192,3,1,1,17850,369,369,369,0,0,0,369,0
13239,50.0131,3,1,1,15750,409,409,409,0,0,0,409,0
4401,40.7102,3,1,1,9000,54,54,54,0,0,0,54,0
20380,46.1762,3,1,1,12500,464,464,464,0,0,0,464,0
11628,45.5994,3,1,1,12096,303,303,303,0,0,0,303,0
12205,38.7584,3,1,1,7200,234,234,234,0,0,0,234,0
15316,47.6185,3,1,1,17850,371,371,371,0,0,0,371,0
1894,44.3036,3,1,1,15120,67,67,67,0,0,0,67,0
27500,170.7493,3,1,1,20000,622,622,622,0,0,0,622,0
27040,63.2043,3,1,1,15750,744,744,744,0,0,0,744,0
14059,42.9785,3,1,1,9000,306,306,306,0,0,0,306,0
17179,43.5589,3,1,1,7200,324,324,324,0,0,0,324,0
20916,120.3456,3,1,1,17850,472,472,472,0,0,0,472,0
28261,55.4739,3,1,1,12500,659,659,659,0,0,0,659,0
20388,54.2578,3,1,1,11900,423,423,423,0,0,0,423,0
9537,50.2133,3,1,1,18900,212,212,212,0,0,0,212,0
7559,49.4695,3,1,1,18900,140,140,140,0,0,0,140,0
13300,49.3403,3,1,1,25000,341,341,341,0,0,0,341,0
16914,46.2333,3,1,1,17850,432,432,432,0,0,0,432,0
41142,45.5742,3,1,1,18900,790,790,790,0,0,0,790,0
42027,45.2468,3,1,1,18000,828,828,828,0,0,0,828,0
12077,42.442,3,1,1,6800,221,221,221,0,0,0,221,0
20977,32.1741,3,1,1,11900,453,453,453,0,0,0,453,0
45299,48.7294,3,1,1,15750,1084,1084,1084,0,0,0,1084,0
56597,55.1172,3,1,1,15750,1384,1384,1384,0,0,0,1384,0
31369,48.1172,3,1,1,18900,684,684,684,0,0,0,684,0
17266,38.4815,3,1,1,9450,342,342,342,0,0,0,342,0
26847,47.8878,3,1,1,14400,598,598,598,0,0,0,598,0
13377,47.5011,3,1,1,12500,276,276,276,0,0,0,276,0
25305,49.7145,3,1,1,18000,612,612,612,0,0,0,612,0
26567,47.1208,3,1,1,17850,620,620,620,0,0,0,620,0
16306,46.409,3,1,1,7140,306,306,306,0,0,0,306,0
30011,49.8956,3,1,1,18000,648,648,648,0,0,0,648,0
3841,39.8848,3,1,1,8925,68,68,68,0,0,0,68,0
17158,47.8413,3,1,1,20000,411,411,411,0,0,0,411,0
22974,43.4907,3,1,1,18900,592,592,592,0,0,0,592,0
29626,155.5936,3,1,1,10000,735,735,735,0,0,0,735,0
21782,54.884,3,1,1,15750,467,467,467,0,0,0,467,0
8415,53.8416,3,1,1,17850,183,183,183,0,0,0,183,0
51325,115.0006,3,1,1,25000,1438,1438,1438,0,0,0,1438,0
18078,64.6329,3,1,1,18900,453,453,453,0,0,0,453,0
34716,66.0445,3,1,1,12600,711,711,711,0,0,0,711,0
25122,46.3129,3,1,1,17850,469,469,469,0,0,0,469,0
16466,42.4911,3,1,1,8925,323,323,323,0,0,0,323,0
4842,44.9314,3,1,1,17000,151,151,151,0,0,0,151,0
12606,43.3814,3,1,1,8925,272,272,272,0,0,0,272,0
20520,45.1362,3,1,1,15120,499,499,499,0,0,0,499,0
23150,43.1781,3,1,1,15120,502,502,502,0,0,0,502,0
13189,42.5419,3,1,1,9450,288,288,288,0,0,0,288,0
12521,39.2194,3,1,1,8925,272,272,272,0,0,0,272,0
10414,41.4242,3,1,1,9450,252,252,252,0,0,0,252,0
33410,45.7308,3,1,1,17850,710,710,710,0,0,0,710,0
29564,50.6102,3,1,1,25000,768,768,768,0,0,0,768,0
31220,37.7204,3,1,1,14875,768,768,768,0,0,0,768,0
15686,44.6943,3,1,1,11424,370,370,370,0,0,0,370,0
14717,45.3383,3,1,1,16000,341,341,341,0,0,0,341,0
31835,45.7839,3,1,1,15120,668,668,668,0,0,0,668,0
16303,41.7866,3,1,1,6048,306,306,306,0,0,0,306,0
13575,46.628,3,1,1,13600,272,272,272,0,0,0,272,0
8872,41.292,3,1,1,9000,214,214,214,0,0,0,214,0
9840,44.0951,3,1,1,14875,226,226,226,0,0,0,226,0
23154,46.8293,3,1,1,12500,579,579,579,0,0,0,579,0
34712,51.4551,3,1,1,15750,830,830,830,0,0,0,830,0
23091,44.3474,3,1,1,17850,531,531,531,0,0,0,531,0
10635,169.8024,3,1,1,9450,252,252,252,0,0,0,252,0
13613,59.8679,3,1,1,14875,355,355,355,0,0,0,355,0
9210,43.7367,3,1,1,7616,184,184,184,0,0,0,184,0
8108,103.8805,3,1,1,18000,194,194,194,0,0,0,194,0
19152,76.4628,3,1,1,14280,436,436,436,0,0,0,436,0
9034,52.8061,3,1,1,7560,208,208,208,0,0,0,208,0
11175,50.5802,3,1,1,8925,264,264,264,0,0,0,264,0
9413,49.3923,3,1,1,9450,276,276,276,0,0,0,276,0
30508,50.9813,3,1,1,18900,678,678,678,0,0,0,678,0
27968,50.1096,3,1,1,18900,631,631,631,0,0,0,631,0
16611,49.1429,3,1,1,18900,323,323,323,0,0,0,323,0
16787,48.4381,3,1,1,18900,397,397,397,0,0,0,397,0
10260,42.2063,3,1,1,7140,252,252,252,0,0,0,252,0
15672,40.498,3,1,1,7140,272,272,272,0,0,0,272,0
6299,40.7249,3,1,1,7560,108,108,108,0,0,0,108,0
34918,49.9694,3,1,1,12600,830,830,830,0,0,0,830,0
11710,42.6798,3,1,1,7200,216,216,216,0,0,0,216,0
14155,43.7533,3,1,1,12500,305,305,305,0,0,0,305,0
34806,45.0265,3,1,1,17000,774,774,774,0,0,0,774,0
11398,44.8807,3,1,1,18900,261,261,261,0,0,0,261,0
11451,44.1722,3,1,1,15120,320,320,320,0,0,0,320,0
2709,41.7857,3,1,1,9000,83,83,83,0,0,0,83,0
21053,39.5107,3,1,1,13600,442,442,442,0,0,0,442,0
17463,42.7087,3,1,1,18000,432,432,432,0,0,0,432,0
20489,41.4069,3,1,1,13600,439,439,439,0,0,0,439,0
5669,37.307,3,1,1,7560,183,183,183,0,0,0,183,0
44743,173.5185,3,1,1,14875,1041,1041,1041,0,0,0,1041,0
23582,53.3785,3,1,1,9520,580,580,580,0,0,0,580,0
30608,49.5087,3,1,1,7355,304,304,304,0,0,0,302,2
29211,51.4426,3,1,1,20000,690,690,690,0,0,0,690,0
13796,89.2504,3,1,1,17000,362,362,362,0,0,0,362,0
9718,61.5527,3,1,1,9000,288,288,288,0,0,0,288,0
12935,53.309,3,1,1,8925,306,306,306,0,0,0,306,0
21622,58.6816,3,1,1,14280,476,476,476,0,0,0,476,0
15076,26.4819,3,1,1,12500,349,349,349,0,0,0,349,0
5352,53.0809,3,1,1,9000,126,126,126,0,0,0,126,0
43756,57.2852,3,1,1,20000,969,969,969,0,0,0,969,0
15279,50.3593,3,1,1,8500,306,306,306,0,0,0,306,0
