estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
24676,0.1442,-1,1,1,15,15,15,15,6,3,1,5,0
53789,0.3467,-1,21,21,8,8,168,112,28,42,28,14,0
25691,0.1704,-1,1,1,33,33,33,33,6,17,8,2,0
24625,0.0531,-1,1,1,10,10,10,10,3,4,3,0,0
24967,0.0603,-1,1,1,12,12,12,12,5,4,3,0,0
20923,0.0115,-1,1,1,1,1,1,1,0,0,0,0,1
69125,4.8297,-1,462,307,13,13,3991,1251,53,376,521,77,224
24905,0.1,-1,1,1,11,11,11,11,4,4,3,0,0
20962,0.0154,-1,1,1,1,1,1,1,0,0,0,0,1
53452,0.2731,-1,7,7,13,13,91,91,28,14,35,14,0
24717,0.0938,-1,1,1,17,17,17,17,3,4,6,4,0
24886,0.0628,-1,1,1,12,12,12,12,5,4,3,0,0
53610,4.0427,-1,378,252,14,14,3528,1109,108,132,249,370,250
24931,0.1144,-1,1,1,11,11,11,11,4,4,3,0,0
24986,0.0867,-1,1,1,14,14,14,14,8,3,3,0,0
24946,0.0776,-1,1,1,12,12,12,12,5,4,3,0,0
20923,0.0167,-1,1,1,1,1,1,1,0,0,0,0,1
20962,0.0126,-1,1,1,1,1,1,1,0,0,0,0,1
25025,0.0661,-1,1,1,12,12,12,12,5,4,3,0,0
24928,0.1189,-1,1,1,21,21,21,21,7,4,6,4,0
20923,0.0079,-1,1,1,1,1,1,1,0,0,0,0,1
19794,0.1149,-1,3,3,15,15,45,22,2,8,0,9,3
25007,0.0696,-1,1,1,12,12,12,12,5,4,3,0,0
0,0.089,-1,7,7,12,12,84,0,0,0,0,0,0
20923,0.011,-1,1,1,1,1,1,1,0,0,0,0,1
20962,0.0092,-1,1,1,1,1,1,1,0,0,0,0,1
24806,0.0581,-1,1,1,9,9,9,9,2,4,3,0,0
24889,0.0687,-1,1,1,11,11,11,11,4,4,3,0,0
20923,0.0101,-1,1,1,1,1,1,1,0,0,0,0,1
551,0.0137,-1,1,1,1,1,1,1,0,0,0,0,1
24908,0.0807,-1,1,1,12,12,12,12,6,3,3,0,0
24746,0.0531,-1,1,1,10,10,10,10,3,4,3,0,0
5008,0.1887,-1,7,7,18,18,126,49,21,21,0,7,0
25168,0.0594,-1,1,1,12,12,12,12,5,4,3,0,0
24621,0.0385,-1,1,1,8,8,8,8,1,4,3,0,0
24848,0.0778,-1,1,1,18,18,18,18,4,4,6,4,0
24825,0.0539,-1,1,1,11,11,11,11,4,4,3,0,0
24823,0.0569,-1,1,1,11,11,11,11,4,4,3,0,0
52869,0.2323,-1,7,7,13,13,91,91,7,35,35,14,0
25086,0.0646,-1,1,1,13,13,13,13,7,3,3,0,0
24560,0.0405,-1,1,1,8,8,8,8,1,4,3,0,0
25204,0.1813,-1,1,1,38,38,38,36,3,9,15,8,1
24959,0.0946,-1,1,1,21,21,21,21,4,8,7,2,0
0,0.2094,-1,21,21,18,18,378,0,0,0,0,0,0
25714,0.0272,-1,1,1,4,4,4,4,1,1,1,1,0
24882,0.0614,-1,1,1,12,12,12,12,4,5,3,0,0
24978,0.0525,-1,1,1,12,12,12,12,5,4,3,0,0
24975,0.0533,-1,1,1,12,12,12,12,5,4,3,0,0
20923,0.0088,-1,1,1,1,1,1,1,0,0,0,0,1
24879,0.0782,-1,1,1,16,16,16,16,5,5,1,5,0
24664,0.0988,-1,1,1,18,18,18,18,3,5,6,4,0
27222,0.6247,-1,189,189,1,1,189,189,0,0,0,0,189
24573,0.0896,-1,1,1,13,13,13,13,2,5,1,5,0
24938,0.0621,-1,1,1,11,11,11,11,5,3,3,0,0
24596,0.0515,-1,1,1,10,10,10,10,3,4,3,0,0
24874,0.0884,-1,1,1,18,18,18,18,3,5,6,4,0
24511,0.0597,-1,1,1,12,12,12,12,2,4,1,5,0
24586,0.0399,-1,1,1,8,8,8,8,1,4,3,0,0
0,0.0893,-1,7,7,16,16,112,0,0,0,0,0,0
25167,0.0594,-1,1,1,13,13,13,13,7,3,3,0,0
51563,0.2754,-1,7,7,11,11,77,77,14,14,35,14,0
0,0.1944,-1,21,21,13,13,273,0,0,0,0,0,0
25117,0.0809,-1,1,1,12,12,12,12,6,3,3,0,0
24862,0.0805,-1,1,1,15,15,15,15,4,5,1,5,0
52736,0.2442,-1,7,7,13,13,91,91,14,28,35,14,0
24737,0.0454,-1,1,1,9,9,9,9,2,4,3,0,0
57151,3.3281,-1,378,252,12,12,3024,1095,37,232,322,378,126
24935,0.1051,-1,1,1,18,18,18,18,3,5,6,4,0
20962,0.0094,-1,1,1,1,1,1,1,0,0,0,0,1
24926,0.0685,-1,1,1,12,12,12,12,6,3,3,0,0
25013,0.0591,-1,1,1,12,12,12,12,6,3,3,0,0
24830,0.0562,-1,1,1,11,11,11,11,4,4,3,0,0
24788,0.049,-1,1,1,10,10,10,10,3,4,3,0,0
30129,0.0631,-1,7,7,2,2,14,14,0,7,0,7,0
25082,0.0913,-1,1,1,20,20,20,20,6,4,6,4,0
52863,0.2281,-1,7,7,13,13,91,91,28,14,35,14,0
0,0.1102,-1,7,7,21,21,147,0,0,0,0,0,0
24993,0.0561,-1,1,1,12,12,12,12,5,4,3,0,0
20962,0.007,-1,1,1,1,1,1,1,0,0,0,0,1
24607,0.104,-1,1,1,22,22,22,22,2,4,6,9,1
551,0.0078,-1,1,1,1,1,1,1,0,0,0,0,1
24994,0.0631,-1,1,1,13,13,13,13,7,3,3,0,0
24717,0.0832,-1,1,1,17,17,17,17,3,4,6,4,0
24678,0.165,-1,1,1,26,26,26,23,3,5,5,9,1
24804,0.0575,-1,1,1,10,10,10,10,3,4,3,0,0
24855,0.1025,-1,1,1,20,20,20,20,5,5,6,4,0
0,0.0668,-1,7,7,12,12,84,0,0,0,0,0,0
24787,0.0551,-1,1,1,11,11,11,11,4,4,3,0,0
24705,0.0689,-1,1,1,14,14,14,14,4,4,1,5,0
24664,0.0772,-1,1,1,16,16,16,16,4,1,7,4,0
24930,0.0721,-1,1,1,15,15,15,15,4,5,1,5,0
24722,0.0489,-1,1,1,11,11,11,11,4,4,3,0,0
96194,6.4381,-1,462,307,21,21,6447,2154,158,460,612,924,0
25024,0.0805,-1,1,1,11,11,11,11,4,4,3,0,0
24587,0.0809,-1,1,1,16,16,16,16,1,5,6,4,0
24803,0.052,-1,1,1,10,10,10,10,3,4,3,0,0
24736,0.0632,-1,1,1,14,14,14,14,2,1,7,4,0
0,0.1072,-1,7,7,21,21,147,0,0,0,0,0,0
24691,0.0707,-1,1,1,13,13,13,13,5,1,2,5,0
24936,0.1283,-1,1,1,12,12,12,12,5,4,3,0,0
24779,0.0768,-1,1,1,12,12,12,12,6,3,3,0,0
25185,0.0981,-1,1,1,19,19,19,19,4,5,6,4,0
25293,0.0967,-1,1,1,22,22,22,22,8,4,6,4,0
25143,0.0764,-1,1,1,16,16,16,16,6,8,2,0,0
24844,0.0521,-1,1,1,11,11,11,11,4,4,3,0,0
