estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
100168,35.8469,-1,1,1,8257,289,289,289,240,28,18,3,0
41832,1.1795,-1,7,7,17,17,119,70,21,21,7,21,0
111458,13.7674,-1,1,1,8257,233,233,233,209,7,12,5,0
41698,100.9087,-1,1,1,108065,2749,2749,874,53,196,561,64,0
22561,0.4942,-1,1,1,17,17,17,17,6,4,3,4,0
141338,20.7315,-1,1,1,18886,2959,2959,2067,438,1583,30,16,0
189542,102.1614,-1,1,1,109356,3126,3126,3126,374,1226,1475,51,0
21747,3.1535,-1,7,7,2065,37,259,182,0,98,77,7,0
186766,10.5479,-1,1,1,5401,774,774,774,580,142,43,9,0
150893,0.5899,-1,1,1,17,17,17,17,6,4,3,4,0
153924,0.4131,-1,1,1,41,41,41,41,15,4,15,6,1
3928,0.1528,-1,27,9,1,1,9,9,0,0,0,0,9
104381,5.3508,-1,1,1,937,932,932,932,668,254,6,4,0
151304,0.606,-1,1,1,17,17,17,17,1,5,8,3,0
126683,2.726,-1,1,1,2065,41,41,41,0,21,15,5,0
64706,113.6824,-1,7,7,114678,2341,16387,1452,86,180,710,476,0
100121,7.1133,-1,1,1,5401,140,140,140,90,35,12,3,0
288063,35.7114,-1,1,1,19738,3450,3450,3450,2133,1293,10,14,0
11457,0.3193,-1,3,1,4,4,4,4,1,2,0,1,0
23056,0.5874,-1,1,1,32,32,32,28,11,4,5,7,1
16645,127.6027,3,1,1,450,108,108,108,0,0,0,108,0
153511,7.551,-1,1,1,4945,511,511,511,385,41,79,6,0
245648,24.1492,-1,1,1,16513,2216,2216,2216,2003,48,148,17,0
29601,8.3573,-1,1,1,5401,756,756,281,159,99,17,6,0
87765,2.8273,-1,1,1,1969,172,172,172,0,156,10,6,0
176113,111.6935,-1,1,1,104478,2634,2634,2634,409,1336,825,64,0
43397,0.1378,-1,1,1,1,1,1,1,0,0,0,0,1
78463,19.8903,-1,1,1,20853,1030,1030,1030,63,99,800,68,0
21753,0.3929,-1,1,1,9,9,9,9,1,0,4,4,0
39110,54.9398,3,1,1,425,221,221,221,0,0,0,221,0
151797,0.2191,-1,1,1,13,13,13,13,1,5,3,4,0
151909,0.1546,-1,1,1,13,13,13,13,1,5,3,4,0
19077,99.6694,3,1,1,360,108,108,108,0,0,0,108,0
85936,2.9077,-1,1,1,2521,330,330,330,128,159,40,3,0
